"","STATE","ST_CASE","DAY","MONTH","HOUR","MINUTE","AGE","SEX","PER_TYP","INJ_SEV","YEAR"
"1",1,10001,6,1,0,55,28,2,1,3,2013
"2",1,10001,6,1,0,55,28,1,2,3,2013
"3",1,10001,6,1,0,55,27,1,2,4,2013
"4",1,10001,6,1,0,55,999,1,2,3,2013
"5",1,10001,6,1,0,55,47,2,2,3,2013
"6",1,10001,6,1,0,55,0,2,2,4,2013
"7",1,10001,6,1,0,55,998,2,2,2,2013
"8",1,10001,6,1,0,55,3,1,2,2,2013
"9",1,10002,3,1,21,24,40,1,1,0,2013
"10",1,10002,3,1,21,24,67,1,1,4,2013
"11",1,10003,6,1,11,45,64,1,1,4,2013
"12",1,10004,6,1,12,25,21,1,1,3,2013
"13",1,10004,6,1,12,25,21,2,2,4,2013
"14",1,10004,6,1,12,25,3,1,2,4,2013
"15",1,10005,6,1,18,28,59,1,1,0,2013
"16",1,10005,6,1,18,28,54,1,1,3,2013
"17",1,10005,6,1,18,28,47,2,2,4,2013
"18",1,10006,8,1,14,31,20,1,1,0,2013
"19",1,10006,8,1,14,31,83,1,1,4,2013
"20",1,10006,8,1,14,31,69,2,2,0,2013
"21",1,10007,11,1,21,30,45,2,1,4,2013
"22",1,10008,14,1,14,49,45,1,1,1,2013
"23",1,10008,14,1,14,49,28,2,1,4,2013
"24",1,10009,5,1,16,21,44,1,1,4,2013
"25",1,10010,5,1,17,34,49,1,1,4,2013
"26",1,10010,5,1,17,34,44,2,2,0,2013
"27",1,10010,5,1,17,34,22,1,1,0,2013
"28",1,10010,5,1,17,34,44,2,2,2,2013
"29",1,10011,5,1,23,29,55,1,1,4,2013
"30",1,10011,5,1,23,29,20,1,1,3,2013
"31",1,10011,5,1,23,29,20,1,2,3,2013
"32",1,10012,7,1,5,44,28,1,1,0,2013
"33",1,10013,7,1,7,20,21,2,1,4,2013
"34",1,10013,7,1,7,20,22,2,2,1,2013
"35",1,10014,7,1,16,5,28,1,1,4,2013
"36",1,10015,9,1,20,0,56,1,1,4,2013
"37",1,10016,10,1,17,55,23,1,1,3,2013
"38",1,10016,10,1,17,55,30,1,2,4,2013
"39",1,10016,10,1,17,55,55,2,1,0,2013
"40",1,10017,10,1,5,50,19,1,1,4,2013
"41",1,10017,10,1,5,50,24,1,1,0,2013
"42",1,10018,11,1,10,21,25,1,1,4,2013
"43",1,10018,11,1,10,21,66,1,1,2,2013
"44",1,10019,13,1,6,11,24,2,1,4,2013
"45",1,10020,14,1,21,5,26,1,1,4,2013
"46",1,10021,15,1,0,5,38,1,1,4,2013
"47",1,10022,15,1,10,35,63,1,1,4,2013
"48",1,10023,16,1,18,30,65,1,1,4,2013
"49",1,10024,16,1,11,20,20,1,1,2,2013
"50",1,10024,16,1,11,20,39,2,1,4,2013
"51",1,10024,16,1,11,20,998,2,2,3,2013
"52",1,10025,17,1,5,50,27,1,1,4,2013
"53",1,10026,19,1,14,40,55,1,1,4,2013
"54",1,10026,19,1,14,40,43,2,2,3,2013
"55",1,10026,19,1,14,40,52,1,1,0,2013
"56",1,10027,19,1,22,45,43,1,1,4,2013
