"","STATE","ST_CASE","DAY","MONTH","HOUR","MINUTE","AGE","SEX","PER_TYP","INJ_SEV","YEAR"
"1",1,10001,1,1,9,25,37,2,1,4,2016
"2",1,10002,10,1,19,59,24,1,1,3,2016
"3",1,10002,10,1,19,59,22,1,2,4,2016
"4",1,10003,1,1,2,20,22,1,1,4,2016
"5",1,10003,1,1,2,20,50,1,3,0,2016
"6",1,10004,17,1,21,45,36,1,1,4,2016
"7",1,10005,26,1,20,7,59,1,1,4,2016
"8",1,10006,1,1,1,10,58,1,1,4,2016
"9",1,10007,1,1,23,34,44,1,1,4,2016
"10",1,10008,4,1,17,30,63,1,1,4,2016
"11",1,10009,4,1,5,37,69,1,1,3,2016
"12",1,10009,4,1,5,37,20,1,1,3,2016
"13",1,10009,4,1,5,37,19,1,2,4,2016
"14",1,10009,4,1,5,37,22,2,2,4,2016
"15",1,10010,5,1,15,18,42,1,1,4,2016
"16",1,10010,5,1,15,18,43,1,2,4,2016
"17",1,10011,6,1,8,4,75,1,1,2,2016
"18",1,10011,6,1,8,4,26,1,1,4,2016
"19",1,10012,6,1,14,20,34,2,1,4,2016
"20",1,10012,6,1,14,20,31,2,2,3,2016
"21",1,10013,7,1,16,55,66,1,1,0,2016
"22",1,10014,8,1,0,35,25,2,1,4,2016
"23",1,10014,8,1,0,35,4,1,2,3,2016
"24",1,10014,8,1,0,35,60,1,2,3,2016
"25",1,10014,8,1,0,35,1,2,2,3,2016
"26",1,10014,8,1,0,35,54,1,1,3,2016
"27",1,10015,8,1,7,25,38,2,1,4,2016
"28",1,10015,8,1,7,25,75,2,1,3,2016
"29",1,10015,8,1,7,25,11,2,2,3,2016
"30",1,10016,9,1,4,30,33,1,1,4,2016
"31",1,10017,11,1,19,43,62,1,1,4,2016
"32",1,10018,13,1,8,0,69,1,1,4,2016
"33",1,10019,13,1,16,35,21,2,1,2,2016
"34",1,10019,13,1,16,35,20,2,2,2,2016
"35",1,10019,13,1,16,35,0,1,2,2,2016
"36",1,10019,13,1,16,35,3,2,2,2,2016
