"","STATE","ST_CASE","DAY","MONTH","HOUR","MINUTE","AGE","SEX","PER_TYP","INJ_SEV","YEAR"
"1",1,10001,19,2,23,35,42,1,1,4,2017
"2",1,10002,14,2,14,59,43,1,1,4,2017
"3",1,10003,31,1,20,31,63,1,1,0,2017
"4",1,10003,31,1,20,31,47,1,1,4,2017
"5",1,10003,31,1,20,31,64,1,1,0,2017
"6",1,10004,1,1,16,55,18,1,1,4,2017
"7",1,10005,1,1,20,0,67,2,1,4,2017
"8",1,10005,1,1,20,0,17,1,2,3,2017
"9",1,10006,6,1,18,40,18,2,1,4,2017
"10",1,10006,6,1,18,40,37,2,1,3,2017
"11",1,10006,6,1,18,40,12,2,2,3,2017
"12",1,10006,6,1,18,40,14,2,2,3,2017
"13",1,10007,11,1,17,57,26,2,1,4,2017
"14",1,10007,11,1,17,57,46,1,1,3,2017
"15",1,10008,11,1,16,50,81,1,1,4,2017
"16",1,10009,11,1,14,30,18,1,1,4,2017
"17",1,10010,14,1,4,0,34,1,1,0,2017
"18",1,10011,15,1,4,35,65,1,1,4,2017
"19",1,10011,15,1,4,35,43,2,1,4,2017
"20",1,10012,19,1,21,50,43,1,1,4,2017
"21",1,10012,19,1,21,50,45,1,1,0,2017
"22",1,10013,1,1,18,34,38,2,1,4,2017
"23",1,10013,1,1,18,34,35,1,2,4,2017
"24",1,10013,1,1,18,34,11,1,2,3,2017
"25",1,10013,1,1,18,34,15,2,2,3,2017
"26",1,10013,1,1,18,34,65,1,1,3,2017
"27",1,10014,2,1,17,5,56,1,1,4,2017
"28",1,10014,2,1,17,5,47,1,1,2,2017
"29",1,10014,2,1,17,5,46,1,1,2,2017
"30",1,10015,4,1,0,35,17,1,1,4,2017
"31",1,10016,4,1,17,10,56,2,1,4,2017
"32",1,10017,4,1,1,15,76,1,1,4,2017
"33",1,10018,4,1,23,48,84,2,1,3,2017
"34",1,10018,4,1,23,48,82,1,2,3,2017
"35",1,10018,4,1,23,48,36,1,1,4,2017
"36",1,10019,5,1,7,44,38,1,1,4,2017
"37",1,10019,5,1,7,44,26,2,2,4,2017
"38",1,10019,5,1,7,44,15,1,2,4,2017
"39",1,10020,6,1,23,1,22,1,1,2,2017
"40",1,10020,6,1,23,1,28,1,2,4,2017
"41",1,10021,7,1,16,40,45,1,1,4,2017
"42",1,10022,9,1,19,44,44,1,1,4,2017
"43",1,10023,5,1,8,45,38,1,1,3,2017
"44",1,10023,5,1,8,45,71,2,1,4,2017
"45",1,10023,5,1,8,45,48,1,1,0,2017
"46",1,10023,5,1,8,45,46,2,1,0,2017
"47",1,10024,6,1,11,27,78,1,1,4,2017
"48",1,10024,6,1,11,27,27,1,1,0,2017
"49",1,10024,6,1,11,27,29,2,1,3,2017
"50",1,10025,11,1,0,30,30,2,1,3,2017
"51",1,10025,11,1,0,30,28,1,2,4,2017
"52",1,10026,11,1,6,30,71,1,1,4,2017
"53",1,10026,11,1,6,30,67,1,1,0,2017
"54",1,10027,12,1,20,23,57,2,1,0,2017
"55",1,10027,12,1,20,23,998,2,2,0,2017
"56",1,10028,12,1,1,14,29,1,1,4,2017
"57",1,10029,12,1,0,27,31,1,1,4,2017
"58",1,10030,12,1,23,45,30,2,1,4,2017
"59",1,10031,13,1,13,20,57,1,1,0,2017
"60",1,10031,13,1,13,20,44,2,1,4,2017
"61",1,10031,13,1,13,20,62,2,1,0,2017
"62",1,10032,13,1,17,0,45,1,1,4,2017
"63",1,10033,14,1,14,35,45,2,1,4,2017
"64",1,10034,14,1,0,15,28,1,1,4,2017
"65",1,10034,14,1,0,15,29,1,2,3,2017
"66",1,10034,14,1,0,15,40,2,1,3,2017
"67",1,10035,14,1,3,30,22,1,1,4,2017
"68",1,10035,14,1,3,30,21,2,2,4,2017
"69",1,10035,14,1,3,30,23,1,2,3,2017
"70",1,10036,14,1,11,10,79,1,1,4,2017
"71",1,10037,14,1,18,36,56,1,1,4,2017
"72",1,10037,14,1,18,36,24,1,1,2,2017
"73",1,10038,18,1,11,50,39,1,1,4,2017
"74",1,10038,18,1,11,50,61,1,1,0,2017
"75",1,10039,18,1,3,8,24,1,1,4,2017
"76",1,10040,20,1,20,42,28,1,1,0,2017
"77",1,10040,20,1,20,42,44,2,2,0,2017
"78",1,10041,21,1,1,45,28,1,1,4,2017
"79",1,10041,21,1,1,45,29,2,2,4,2017
"80",1,10042,22,1,2,43,38,1,1,2,2017
"81",1,10042,22,1,2,43,37,2,2,4,2017
"82",1,10042,22,1,2,43,36,2,2,4,2017
"83",1,10042,22,1,2,43,34,2,1,2,2017
"84",1,10043,22,1,18,40,27,1,1,3,2017
"85",1,10043,22,1,18,40,24,2,2,4,2017
"86",1,10043,22,1,18,40,19,2,1,0,2017
"87",1,10043,22,1,18,40,19,2,2,0,2017
"88",1,10044,23,1,19,35,67,1,1,4,2017
"89",1,10045,24,1,8,15,76,2,1,4,2017
"90",1,10046,24,1,14,35,16,2,1,0,2017
"91",1,10046,24,1,14,35,12,2,2,0,2017
"92",1,10047,27,1,20,38,26,2,1,2,2017
"93",1,10047,27,1,20,38,25,1,2,4,2017
"94",1,10047,27,1,20,38,24,2,2,2,2017
