"","STATE","ST_CASE","DAY","MONTH","HOUR","MINUTE","AGE","SEX","PER_TYP","INJ_SEV","YEAR"
"1",1,10001,4,1,16,51,55,2,1,4,2011
"2",1,10002,4,1,23,40,24,1,1,4,2011
"3",1,10003,5,1,9,14,30,1,1,3,2011
"4",1,10003,5,1,9,14,33,2,1,4,2011
"5",1,10003,5,1,9,14,52,2,2,4,2011
"6",1,10003,5,1,9,14,2,1,2,3,2011
"7",1,10003,5,1,9,14,4,1,2,3,2011
"8",1,10005,8,1,15,35,23,2,1,4,2011
"9",1,10006,8,1,6,16,63,1,1,3,2011
"10",1,10006,8,1,6,16,22,2,2,4,2011
"11",1,10007,11,1,18,50,44,1,1,4,2011
"12",1,10007,11,1,18,50,65,1,1,0,2011
"13",1,10007,11,1,18,50,69,1,2,0,2011
"14",1,10008,13,1,4,40,23,1,1,4,2011
"15",1,10008,13,1,4,40,999,1,2,4,2011
"16",1,10009,14,1,14,45,45,1,1,0,2011
"17",1,10009,14,1,14,45,82,1,2,0,2011
"18",1,10010,15,1,2,55,23,1,1,4,2011
"19",1,10011,1,1,6,20,19,1,1,4,2011
"20",1,10011,1,1,6,20,49,1,1,2,2011
"21",1,10012,1,1,18,50,42,2,1,0,2011
"22",1,10012,1,1,18,50,999,2,2,0,2011
"23",1,10013,2,1,16,0,85,2,1,4,2011
"24",1,10014,2,1,0,10,16,1,1,0,2011
"25",1,10015,3,1,7,10,54,1,1,4,2011
"26",1,10016,3,1,10,35,41,1,1,0,2011
"27",1,10016,3,1,10,35,30,1,1,4,2011
"28",1,10016,3,1,10,35,23,1,2,2,2011
"29",1,10017,4,1,17,11,41,1,1,0,2011
"30",1,10018,7,1,3,13,26,1,1,4,2011
"31",1,10018,7,1,3,13,999,1,2,0,2011
"32",1,10019,9,1,6,30,32,1,1,4,2011
"33",1,10020,9,1,20,0,18,1,1,4,2011
"34",1,10021,11,1,13,35,44,1,1,4,2011
"35",1,10021,11,1,13,35,42,1,2,0,2011
"36",1,10022,13,1,15,31,22,1,1,0,2011
"37",1,10022,13,1,15,31,20,1,2,1,2011
"38",1,10022,13,1,15,31,39,1,1,4,2011
"39",1,10023,13,1,21,20,53,1,1,4,2011
"40",1,10024,14,1,11,45,82,1,1,4,2011
"41",1,10025,14,1,8,47,39,1,1,4,2011
"42",1,10026,15,1,13,40,53,1,1,4,2011
"43",1,10027,15,1,8,35,62,1,1,4,2011
"44",1,10027,15,1,8,35,58,1,1,0,2011
"45",1,10027,15,1,8,35,59,2,2,0,2011
"46",1,10028,15,1,15,0,32,1,1,0,2011
